카다, 193, 72
하다, 195, 62
아라, 150, 77
파다, 199, 99
차파, 176, 53
다파, 195, 61
라자, 165, 84
자자, 163, 51
타하, 171, 68
자나, 161, 65
마하, 190, 53
나사, 179, 65
바마, 162, 69
가하, 174, 87
다카, 162, 78
라타, 181, 95
다마, 185, 84
사아, 170, 66
하마, 193, 65
다다, 168, 55
차마, 161, 93
사라, 180, 75
다바, 192, 94
파자, 157, 91
자사, 167, 68
파하, 184, 80
파라, 171, 74
카하, 190, 99
나차, 198, 97
파가, 160, 92
파파, 163, 59
다다, 173, 61
자가, 186, 86
카차, 171, 74
바바, 171, 67
마다, 156, 78
라마, 178, 99
가사, 172, 65
카나, 153, 62
하바, 159, 56
나타, 171, 61
가하, 168, 89
차다, 196, 81
카카, 187, 86
타자, 183, 61
타아, 178, 82
파바, 159, 72
마하, 152, 69
타다, 183, 52
카자, 191, 85
하나, 152, 77
카사, 176, 65
가다, 153, 75
라사, 195, 85
파사, 180, 50
나나, 197, 86
라라, 168, 59
마사, 159, 58
가아, 170, 67
사자, 172, 60
다사, 192, 97
가바, 195, 86
나사, 152, 70
차마, 152, 86
카카, 177, 85
카마, 196, 84
차타, 177, 65
라아, 161, 70
다나, 178, 73
아파, 153, 68
카파, 151, 89
타다, 155, 64
차자, 161, 61
자가, 173, 90
라카, 158, 78
다카, 172, 64
바카, 174, 98
타바, 163, 55
나사, 162, 53
파파, 194, 53
카하, 188, 65
자차, 157, 73
마아, 171, 50
아다, 192, 69
가타, 168, 65
자나, 153, 70
하타, 178, 95
차마, 180, 95
아자, 186, 66
바하, 179, 82
바파, 165, 91
가자, 199, 58
라타, 160, 88
마타, 177, 65
사가, 199, 97
바가, 178, 58
파마, 193, 57
타사, 179, 69
아마, 190, 60
카타, 197, 74
가타, 196, 91
가마, 151, 83
바아, 161, 89
라자, 169, 60
타다, 194, 69
가하, 189, 88
하다, 154, 52
사하, 182, 61
마자, 153, 92
바차, 184, 83
카가, 152, 75
바바, 174, 53
나자, 186, 68
카라, 168, 52
아하, 171, 88
하아, 150, 56
사파, 175, 52
아나, 184, 51
사파, 150, 56
라마, 164, 90
바차, 183, 63
하파, 159, 98
나라, 177, 60
카카, 193, 90
하바, 188, 87
하바, 186, 89
하사, 187, 58
사아, 175, 69
차마, 192, 55
차파, 177, 99
하하, 159, 92
라바, 175, 97
바차, 174, 97
라아, 160, 89
차가, 187, 59
차바, 163, 55
나차, 198, 61
마하, 183, 92
하사, 186, 91
마하, 186, 97
차라, 159, 61
사파, 161, 99
하타, 159, 51
차타, 199, 86
바가, 180, 85
하가, 164, 74
파바, 174, 67
아하, 159, 88
하차, 156, 61
사나, 164, 50
자카, 194, 71
아다, 172, 73
사타, 191, 75
라바, 183, 66
차가, 188, 90
파타, 194, 83
사카, 195, 73
라사, 187, 89
다카, 194, 83
가하, 162, 63
나다, 157, 74
나바, 198, 58
자마, 165, 92
가타, 166, 87
사사, 183, 89
라가, 160, 64
타라, 191, 63
타다, 156, 90
마차, 177, 95
타나, 159, 92
하나, 166, 69
파카, 154, 58
차나, 180, 54
바다, 178, 82
가다, 158, 63
가나, 174, 78
나아, 163, 78
파마, 192, 69
마자, 170, 71
가바, 174, 62
차타, 178, 59
자다, 166, 99
가파, 176, 59
하사, 169, 63
차사, 179, 58
하파, 157, 53
타하, 178, 98
타차, 159, 85
사하, 159, 79
차가, 189, 70
하사, 185, 85
가파, 177, 82
타사, 180, 57
타아, 153, 86
바마, 157, 99
가카, 166, 58
카자, 181, 97
다다, 183, 96
차하, 195, 95
카나, 191, 80
카라, 180, 77
자라, 152, 73
바사, 156, 65
타하, 171, 79
다카, 191, 99
바마, 199, 63
가타, 170, 64
하사, 189, 88
나차, 167, 99
라바, 165, 59
차나, 183, 71
라하, 173, 91
아파, 179, 81
나파, 155, 81
가카, 169, 81
카라, 192, 75
하파, 156, 50
카하, 188, 69
카아, 167, 91
가사, 177, 52
자하, 170, 88
나마, 185, 78
파마, 191, 88
바하, 152, 75
타자, 195, 95
바파, 181, 58
아카, 158, 91
가차, 192, 63
바타, 171, 73
차라, 183, 85
가아, 152, 65
다바, 198, 96
아가, 194, 75
나파, 156, 92
타하, 178, 78
차마, 161, 96
차마, 195, 95
파자, 167, 64
아바, 152, 53
다가, 192, 93
하마, 178, 81
마사, 158, 81
라바, 166, 86
사라, 189, 52
마바, 188, 82
라파, 189, 93
카차, 198, 74
하라, 195, 58
사다, 165, 95
나사, 188, 67
카마, 188, 92
라바, 198, 70
타자, 190, 67
바나, 193, 56
카카, 161, 93
바아, 197, 82
나사, 159, 56
나아, 182, 58
다사, 157, 62
가사, 171, 81
타바, 153, 65
자라, 191, 77
자자, 185, 57
라가, 181, 92
마마, 155, 71
라차, 163, 95
차자, 197, 50
마파, 177, 98
가타, 195, 80
바카, 194, 82
차차, 195, 83
파마, 159, 68
가차, 171, 76
타사, 163, 66
카카, 181, 81
가사, 168, 50
파파, 175, 73
자하, 191, 52
라나, 175, 91
차자, 151, 72
라카, 174, 90
라차, 175, 86
나다, 175, 74
다하, 158, 68
하사, 163, 63
라자, 184, 55
나자, 198, 65
마마, 190, 77
라아, 182, 80
카나, 199, 67
아마, 171, 54
마마, 199, 84
타가, 177, 94
나자, 186, 89
바하, 158, 77
다사, 188, 51
바아, 160, 64
파다, 152, 74
가라, 170, 61
사타, 197, 83
마가, 188, 56
사다, 169, 64
타바, 170, 63
파사, 195, 57
아아, 187, 67
아라, 193, 85
라마, 199, 82
사마, 173, 92
마나, 164, 76
다파, 193, 86
카나, 197, 65
하다, 161, 70
나바, 157, 76
라파, 163, 59
바다, 170, 86
카다, 183, 94
바바, 167, 72
라사, 174, 66
가카, 179, 54
나차, 193, 86
사라, 163, 60
하아, 195, 90
자마, 168, 93
카가, 151, 58
하자, 196, 85
하바, 155, 94
자다, 198, 97
가카, 154, 79
가카, 182, 87
타라, 155, 54
바다, 152, 75
가타, 185, 66
파나, 181, 84
자파, 181, 59
라가, 170, 52
자타, 174, 96
차자, 156, 88
다마, 164, 62
차나, 150, 68
바아, 153, 83
자나, 191, 72
파타, 168, 54
나아, 191, 70
나아, 155, 69
라파, 198, 59
나다, 189, 93
바나, 161, 51
바라, 190, 81
가파, 155, 72
파바, 152, 90
아하, 185, 54
하가, 162, 99
라파, 196, 97
파자, 152, 54
가카, 167, 64
파하, 153, 70
가마, 192, 76
다마, 167, 87
아파, 197, 72
마차, 198, 50
파자, 176, 70
하나, 178, 66
카타, 188, 70
타라, 192, 73
라하, 199, 89
아다, 168, 91
가나, 165, 76
가하, 167, 67
다카, 176, 93
아나, 155, 58
바사, 167, 73
사카, 181, 70
다사, 194, 69
라다, 183, 88
파사, 197, 85
사다, 177, 57
나사, 169, 59
아자, 185, 75
바다, 191, 99
사차, 197, 64
나바, 177, 85
카자, 187, 93
다카, 158, 90
가바, 199, 98
사카, 192, 93
다자, 170, 65
하마, 190, 73
가타, 186, 79
사가, 163, 81
나타, 197, 51
아라, 193, 90
하가, 158, 58
자라, 154, 79
바자, 175, 80
가바, 157, 58
바아, 193, 85
가하, 151, 61
가아, 194, 72
하다, 156, 62
차카, 174, 59
바가, 162, 52
사카, 157, 76
사하, 150, 92
타차, 155, 66
하가, 175, 59
라라, 182, 69
자바, 191, 65
마마, 197, 84
아카, 194, 52
바아, 177, 96
라가, 168, 89
라카, 151, 72
타차, 177, 52
마다, 193, 71
다차, 171, 57
자파, 170, 51
나차, 185, 82
바차, 190, 79
다자, 186, 80
가카, 169, 76
아아, 198, 94
다하, 152, 70
가바, 168, 77
가가, 194, 96
하가, 183, 87
사바, 189, 88
라사, 191, 64
타자, 176, 86
나파, 180, 78
마아, 183, 83
카자, 158, 65
가바, 174, 60
차자, 154, 82
나자, 174, 63
가다, 150, 74
자나, 194, 52
바다, 151, 56
가나, 189, 65
자하, 159, 80
사마, 167, 61
라나, 191, 64
가카, 160, 84
카라, 181, 87
카파, 194, 80
나하, 195, 99
가아, 155, 76
사타, 182, 55
다하, 154, 78
가바, 161, 82
자라, 166, 73
차타, 182, 64
사라, 163, 66
바카, 182, 89
카카, 179, 90
다다, 163, 82
가사, 183, 54
라차, 191, 97
타마, 159, 58
라카, 175, 64
가가, 188, 64
사바, 155, 84
하하, 171, 64
자사, 178, 78
하다, 170, 94
하파, 179, 61
하하, 157, 89
마가, 179, 99
하차, 182, 89
나차, 163, 91
바사, 199, 75
타자, 158, 52
바하, 185, 95
파가, 164, 85
카다, 175, 62
카타, 180, 60
라타, 196, 77
다가, 150, 57
라라, 177, 69
나다, 167, 52
사하, 153, 60
차라, 174, 65
아바, 155, 68
아나, 181, 70
타나, 184, 50
차마, 162, 89
카가, 155, 51
하나, 176, 79
아라, 150, 90
바차, 181, 86
아카, 161, 87
카나, 150, 92
사아, 178, 73
사다, 187, 58
하바, 157, 65
차타, 182, 60
파사, 155, 67
차타, 169, 73
하사, 189, 64
사아, 172, 86
아나, 197, 90
